"gender"	"Age"	"Attitude"	"Points"	"deep"	"Stra"	"Surf"
"M"	21	48	29	-0.354022116003366	-1.08244511761306	-0.549891281683672
"M"	21	40	33	1.15263014512724	0.213302758254086	-1.96059368189085
"F"	21	40	33	1.00196491901418	0.699208211704265	-1.02012541508606
"F"	21	47	25	-0.504687342116427	0.699208211704265	-1.33361483735432
"F"	26	23	18	-1.10734824656867	-0.758508148646271	0.0770875628528507
"F"	25	31	22	1.60462582346642	-1.56835057106324	0.0770875628528507
"F"	26	27	17	-0.504687342116427	-1.40638208657984	-0.706635992817802
"M"	21	41	25	-0.504687342116427	-1.56835057106324	-1.02012541508606
"F"	23	34	28	-0.504687342116427	1.18511366515444	0.0770875628528507
"F"	22	25	22	-0.203356889890306	-0.272602695196093	-1.02012541508606
"F"	22	21	26	-3.81932231660376	1.02314518067105	-1.80384897075672
"F"	22	14	11	-0.655352568229488	-0.758508148646271	0.233832273986981
"F"	23	19	29	1.15263014512724	-0.434571179679486	0.233832273986981
"M"	22	37	22	1.3032953712403	1.83298760308801	-1.33361483735432
"M"	23	32	21	2.0566215018056	0.375271242737479	-0.863380703951933
"M"	24	28	28	-1.10734824656867	-0.596539664162879	-0.706635992817802
"F"	22	41	33	-1.25801347268173	1.34708214963784	-0.0796571482812799
"F"	23	25	16	0.700634466788058	-0.596539664162879	0.860811118523504
"M"	22	28	31	0.700634466788058	-1.08244511761306	-1.96059368189085
"M"	20	38	22	0.0979735623358153	-0.434571179679486	-0.393146570549541
"M"	22	31	31	-1.10734824656867	-0.1106342107127	1.01755582965763
"M"	21	35	23	1.90595627569254	-1.89228754003002	0.0770875628528507
"F"	22	36	26	1.00196491901418	-1.56835057106324	-0.549891281683672
"F"	23	26	12	0.851299692901118	0.375271242737479	-0.706635992817802
"M"	21	44	26	1.3032953712403	0.861176696187657	-0.706635992817802
"M"	22	45	31	0.248638788448876	-1.24441360209645	-0.393146570549541
"M"	29	32	19	-0.655352568229488	-0.920476633129664	0.390576985121112
"F"	29	39	30	-0.956683020455609	-0.434571179679486	-1.49035954848846
"F"	21	25	12	-0.956683020455609	0.051334273770693	1.17430054079177
"M"	28	33	17	0.248638788448876	0.537239727220872	0.0770875628528507
"F"	21	33	18	1.00196491901418	-0.596539664162879	-1.02012541508606
"F"	30	30	19	0.248638788448876	0.375271242737479	-0.0796571482812799
"F"	21	29	21	-0.0526916637772453	-1.08244511761306	2.11476880759655
"M"	23	33	24	0.248638788448876	-0.1106342107127	-0.863380703951933
"F"	21	33	28	0.248638788448876	1.18511366515444	-0.0796571482812799
"F"	21	35	17	0.248638788448876	0.537239727220872	-0.0796571482812799
"F"	20	36	18	-0.0526916637772453	-0.596539664162879	0.233832273986981
"M"	22	37	17	1.15263014512724	-0.758508148646271	-1.33361483735432
"M"	21	42	23	0.0979735623358153	0.861176696187657	1.64453467419416
"M"	21	32	26	0.851299692901118	0.699208211704265	0.0770875628528507
"F"	20	50	28	0.549969240674997	1.34708214963784	1.17430054079177
"M"	22	47	31	0.549969240674997	1.67101911860462	-2.27408310415911
"F"	20	36	27	1.60462582346642	-0.596539664162879	0.233832273986981
"F"	20	36	25	-0.0526916637772453	1.18511366515444	0.390576985121112
"M"	24	29	23	-0.0526916637772453	-0.434571179679486	0.233832273986981
"F"	20	35	21	0.248638788448876	-0.434571179679486	-0.236401859415411
"F"	19	40	27	-2.01133960324703	-2.21622450899681	0.390576985121112
"F"	21	35	28	-0.354022116003366	-1.08244511761306	-0.0796571482812799
"F"	21	32	23	-1.10734824656867	0.699208211704265	0.547321696255243
"F"	22	26	21	1.00196491901418	0.861176696187657	-0.549891281683672
"F"	25	20	25	-0.956683020455609	1.18511366515444	-0.863380703951933
"F"	21	27	11	-1.10734824656867	0.051334273770693	0.390576985121112
"F"	22	32	19	0.851299692901118	0.213302758254086	0.390576985121112
"F"	25	33	24	-2.61400050769928	-1.24441360209645	2.27151351873068
"F"	20	39	28	-0.655352568229488	-0.272602695196093	0.860811118523504
"M"	24	33	21	-1.10734824656867	-2.05425602451341	1.3310452519259
"F"	20	30	24	-1.71000915102091	-0.758508148646271	1.3310452519259
"M"	21	37	24	-0.806017794342548	0.213302758254086	1.95802409646242
"F"	20	25	20	0.549969240674997	0.699208211704265	0.233832273986981
"F"	20	29	19	-0.203356889890306	1.02314518067105	-1.17687012622019
"M"	31	39	30	0.700634466788058	1.02314518067105	-2.11733839302498
"F"	20	36	22	1.00196491901418	-0.920476633129664	-1.33361483735432
"F"	22	29	16	-0.504687342116427	-0.1106342107127	0.0770875628528507
"F"	22	21	16	-1.10734824656867	0.375271242737479	1.17430054079177
"M"	21	31	19	-0.354022116003366	-0.434571179679486	1.01755582965763
"M"	22	40	30	-0.0526916637772453	1.83298760308801	-0.393146570549541
"F"	21	31	23	1.00196491901418	-0.596539664162879	0.0770875628528507
"F"	21	23	19	1.00196491901418	-0.434571179679486	1.01755582965763
"F"	21	28	18	0.248638788448876	0.213302758254086	0.390576985121112
"F"	21	37	28	1.3032953712403	1.34708214963784	-0.393146570549541
"F"	20	26	21	-0.354022116003366	0.375271242737479	-0.706635992817802
"F"	21	24	19	-0.203356889890306	-0.434571179679486	1.48778996306003
"F"	25	30	27	-0.0526916637772453	1.34708214963784	-1.33361483735432
"M"	21	28	24	-2.9153309599254	0.213302758254086	2.8984923632672
"F"	24	29	21	1.00196491901418	-0.272602695196093	-0.236401859415411
"F"	20	24	20	-0.203356889890306	-0.272602695196093	0.390576985121112
"M"	21	31	28	0.549969240674997	-0.920476633129664	-0.236401859415411
"F"	20	19	12	-0.655352568229488	1.02314518067105	-1.17687012622019
"F"	20	20	21	-0.354022116003366	-1.24441360209645	-0.236401859415411
"F"	18	38	28	-0.956683020455609	1.18511366515444	-1.02012541508606
"F"	21	34	31	-0.203356889890306	0.213302758254086	-0.236401859415411
"F"	19	37	18	-0.504687342116427	-0.596539664162879	1.01755582965763
"F"	21	29	25	1.00196491901418	-0.434571179679486	1.3310452519259
"F"	20	23	19	-0.806017794342548	1.18511366515444	-0.0796571482812799
"M"	21	41	21	1.3032953712403	-0.1106342107127	-1.49035954848846
"F"	20	27	16	-0.806017794342548	0.375271242737479	0.0770875628528507
"F"	21	35	7	0.399304014561936	1.02314518067105	1.3310452519259
"F"	20	34	21	-0.203356889890306	0.213302758254086	-0.549891281683672
"F"	18	32	17	1.45396059735336	0.375271242737479	0.704066407389373
"M"	22	33	22	-0.203356889890306	1.34708214963784	0.547321696255243
"F"	22	33	18	-0.0526916637772453	0.537239727220872	0.233832273986981
"M"	24	35	25	-2.01133960324703	-1.40638208657984	0.704066407389373
"F"	19	32	24	0.851299692901118	0.699208211704265	-0.549891281683672
"F"	20	31	23	-0.806017794342548	0.375271242737479	1.95802409646242
"F"	20	28	23	1.15263014512724	-1.24441360209645	-1.02012541508606
"F"	17	17	26	0.399304014561936	1.99495608757141	1.17430054079177
"M"	19	19	12	-1.86067437713397	-0.758508148646271	1.80127938532829
"F"	20	35	32	-1.10734824656867	-0.272602695196093	0.390576985121112
"F"	20	24	22	0.0979735623358153	-0.434571179679486	-0.393146570549541
"F"	20	21	20	0.851299692901118	1.18511366515444	1.01755582965763
"F"	20	29	21	0.851299692901118	-0.920476633129664	0.0770875628528507
"F"	19	19	23	-0.806017794342548	1.02314518067105	0.390576985121112
"F"	19	20	20	0.700634466788058	0.375271242737479	0.0770875628528507
"F"	22	42	28	-1.40867869879479	-1.73031905554663	0.704066407389373
"M"	35	41	31	0.248638788448876	-0.1106342107127	-0.0796571482812799
"F"	18	37	18	-0.956683020455609	-0.596539664162879	1.17430054079177
"F"	19	36	30	-0.504687342116427	-0.596539664162879	0.390576985121112
"M"	21	18	19	0.700634466788058	0.375271242737479	-0.236401859415411
